dataset_name,series_description,algorithm,hyperparameters
D2013_train.csv,"A univariate time-series dataset  consists of 168 samples with a missing values percentage of 0.0% imputed using FBProphet model and 3.571428571428571% detected outliers. The target series has a sampling rate of 1440 minutes, minimum value of 4260.0, maximum value of 5240.0, median value of 4410.0, mean value of 4524.390243902439, and average standard deviation of 0.07034868518564971 for the 10 percentiles. The series is detected as non-stationary using dickey fuller testand it turns into a stationary series using first order differencing. The series has 3 significant lags observed using the partial autocorrelation function (pACF), the pACF values for these 3 lags ranges from 1.0022593574984802 for the lag number 1 to 0.22928528386498956 for the lag number 3.There are no insignificant lags in between the first and the last significant ones.The series looks to be a multiplicative time-series with a logistic trend. There are 1 seasonality components detected in this series represented as sinusoidal waves with periods 84.The series exhibits a skewness value of 1.2527487729770836 and a kurtosis value of 0.9952000423330549. The Fractal dimension analysis yields a value of -0.4260870162613454, indicating a Complex and irregular time-series structure. The dataset is converted into a simple regression task by extracting the previously described features.",LassoRegressor,"{'alpha': 0.8618699128061654, 'random_state': 42, 'selection': 'random'}"
307.csv,"A univariate time-series dataset  consists of 216 samples with a missing values percentage of 0.0% imputed using FBProphet model and 0.0% detected outliers. The target series has a sampling rate of 480 minutes, minimum value of -0.9476724849523336, maximum value of 0.9341137174709576, median value of -0.07279189737057626, mean value of -0.05224245772757482, and average standard deviation of 0.18212342745294735 for the 10 percentiles. The series is detected as non-stationary using dickey fuller testand it turns into a stationary series using first order differencing. The series has 8 significant lags observed using the partial autocorrelation function (pACF), the pACF values for these 8 lags ranges from 0.43575212036023514 for the lag number 1 to 0.16748306571171867 for the lag number 9. There exist 2 insignificant lags at these indices 6,8 between the first and the last significant ones. The series looks to be a additive time-series with a logistic trend. There are 2 seasonality components detected in this series represented as sinusoidal waves with periods 21,3.The series exhibits a skewness value of 0.03216903892643223 and a kurtosis value of 0.48460419950357725. The Fractal dimension analysis yields a value of -1.10660362036052, indicating a Complex and irregular time-series structure. The dataset is converted into a simple regression task by extracting the previously described features.",XGBoostRegressor,"{'colsample_bytree': 1.0, 'gamma': 0.9, 'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 20, 'random_state': 42, 'reg_lambda': 0.8, 'subsample': 1}"
140.csv,"A univariate time-series dataset  consists of 1168 samples with a missing values percentage of 0.0% imputed using FBProphet model and 0.0% detected outliers. The target series has a sampling rate of 360 minutes, minimum value of -1.2902239251110956, maximum value of 1.3037682393380936, median value of 0.1986423246008209, mean value of 0.16067143245128362, and average standard deviation of 0.10537232569467711 for the 10 percentiles. The series is detected as non-stationary using dickey fuller testand it turns into a stationary series using first order differencing. The series has 9 significant lags observed using the partial autocorrelation function (pACF), the pACF values for these 9 lags ranges from 0.8962024251729377 for the lag number 1 to 0.07473117527045482 for the lag number 9. There exist 1 insignificant lags at these indices 8 between the first and the last significant ones. The series looks to be a additive time-series with a logistic trend. There are 3 seasonality components detected in this series represented as sinusoidal waves with periods 292,129,97.The series exhibits a skewness value of 0.18081421084152943 and a kurtosis value of 1.2995007952033686. The Fractal dimension analysis yields a value of -0.9528400256204295, indicating a Complex and irregular time-series structure. The dataset is converted into a simple regression task by extracting the previously described features.",LassoRegressor,"{'alpha': 0.0015614556496263334, 'random_state': 42, 'selection': 'cyclic'}"
D4040_train.csv,"A univariate time-series dataset  consists of 208 samples with a missing values percentage of 0.0% imputed using FBProphet model and 0.0% detected outliers. The target series has a sampling rate of 1440 minutes, minimum value of 2127.0, maximum value of 2867.0, median value of 2402.5, mean value of 2496.3529411764707, and average standard deviation of 0.06427380001131938 for the 10 percentiles. The series is detected as non-stationary using dickey fuller testand it turns into a stationary series using first order differencing. The series has 2 significant lags observed using the partial autocorrelation function (pACF), the pACF values for these 2 lags ranges from 0.9991367891806471 for the lag number 1 to 0.17865228260899146 for the lag number 3. There exist 1 insignificant lags at these indices 2 between the first and the last significant ones. The series looks to be a multiplicative time-series with a logistic trend. There are 2 seasonality components detected in this series represented as sinusoidal waves with periods 208,69.The series exhibits a skewness value of 0.2072752708906283 and a kurtosis value of 1.4153445459686025. The Fractal dimension analysis yields a value of -0.47187522460706116, indicating a Complex and irregular time-series structure. The dataset is converted into a simple regression task by extracting the previously described features.",ElasticNetRegressor,"{'l1_ratio': 0.5333333333333333, 'random_state': 42, 'selection': 'random'}"
W81_train.csv,"A univariate time-series dataset  consists of 576 samples with a missing values percentage of 0.0% imputed using FBProphet model and 0.0% detected outliers. The target series has a sampling rate of 10080 minutes, minimum value of 1755.4, maximum value of 11312.2, median value of 4277.4, mean value of 5166.922791519435, and average standard deviation of 0.055282634673870124 for the 10 percentiles. The series is detected as non-stationary using dickey fuller testand it turns into a stationary series using first order differencing. The series has 7 significant lags observed using the partial autocorrelation function (pACF), the pACF values for these 7 lags ranges from 0.995628029689111 for the lag number 1 to 0.12184679691537886 for the lag number 9. There exist 3 insignificant lags at these indices 5,7,8 between the first and the last significant ones. The series looks to be a multiplicative time-series with a logistic trend. There are 2 seasonality components detected in this series represented as sinusoidal waves with periods 288,144.The series exhibits a skewness value of 0.43007558493087844 and a kurtosis value of 1.2362156559312567. The Fractal dimension analysis yields a value of -0.6171117208367543, indicating a Complex and irregular time-series structure. The dataset is converted into a simple regression task by extracting the previously described features.",LassoRegressor,"{'alpha': 9.999999999999999e-06, 'random_state': 42, 'selection': 'random'}"
77.csv,"A univariate time-series dataset  consists of 768 samples with a missing values percentage of 0.0% imputed using FBProphet model and 0.0% detected outliers. The target series has a sampling rate of 360 minutes, minimum value of -1.2547133181993644, maximum value of 1.1685992396294358, median value of -0.8687209339420463, mean value of -0.46610820620306026, and average standard deviation of 0.20364763838429653 for the 10 percentiles. The series is detected as non-stationary using dickey fuller testand it turns into a stationary series using first order differencing. The series has 8 significant lags observed using the partial autocorrelation function (pACF), the pACF values for these 8 lags ranges from 0.8908103738598872 for the lag number 1 to 0.08425216248732793 for the lag number 10. There exist 2 insignificant lags at these indices 4,9 between the first and the last significant ones. The series looks to be a multiplicative time-series with a logistic trend. There are 5 seasonality components detected in this series represented as sinusoidal waves with periods 34,32,29,26,24.The series exhibits a skewness value of 0.961668987205963 and a kurtosis value of 0.6030082972040778. The Fractal dimension analysis yields a value of -0.5233480199478414, indicating a Complex and irregular time-series structure. The dataset is converted into a simple regression task by extracting the previously described features.",RandomForestRegressor,"{'max_depth': 10, 'n_estimators': 400, 'random_state': 42}"
211.csv,"A univariate time-series dataset  consists of 27648 samples with a missing values percentage of 0.014467592592592591% imputed using FBProphet model and 0.0% detected outliers. The target series has a sampling rate of 10 minutes, minimum value of -1.399977557651353, maximum value of 1.41868808642065, median value of 0.7180121475063421, mean value of 0.04035544987985625, and average standard deviation of 0.14000047480426828 for the 10 percentiles. The series is detected as non-stationary using dickey fuller testand it turns into a stationary series using first order differencing. The series has 10 significant lags observed using the partial autocorrelation function (pACF), the pACF values for these 10 lags ranges from 0.9310091846116779 for the lag number 1 to 0.09187528216642195 for the lag number 10.There are no insignificant lags in between the first and the last significant ones.The series looks to be a multiplicative time-series with a logistic trend. There are 2 seasonality components detected in this series represented as sinusoidal waves with periods 3949,789.The series exhibits a skewness value of 0.07738252658221362 and a kurtosis value of 1.9256852929666963. The Fractal dimension analysis yields a value of -0.9693011143898137, indicating a Complex and irregular time-series structure. The dataset is converted into a simple regression task by extracting the previously described features.",AdaboostRegressor,"{'estimator': DecisionTreeRegressor(max_depth=3), 'learning_rate': 0.01, 'loss': 'linear', 'n_estimators': 10, 'random_state': 42}"
169.csv,"A univariate time-series dataset  consists of 10368 samples with a missing values percentage of 0.0% imputed using FBProphet model and 13.522376543209877% detected outliers. The target series has a sampling rate of 30 minutes, minimum value of -1.3660479596623762, maximum value of 0.9963048013363668, median value of -0.818637753147195, mean value of -0.6011379421260916, and average standard deviation of 0.1254112215788616 for the 10 percentiles. The series is detected as non-stationary using dickey fuller testand it turns into a stationary series using first order differencing. The series has 10 significant lags observed using the partial autocorrelation function (pACF), the pACF values for these 10 lags ranges from 0.8217202052282901 for the lag number 1 to 0.0914263333756079 for the lag number 10.There are no insignificant lags in between the first and the last significant ones.The series looks to be a multiplicative time-series with a logistic trend. There are 6 seasonality components detected in this series represented as sinusoidal waves with periods 648,493,450,370,296,246.The series exhibits a skewness value of 1.2168758705793294 and a kurtosis value of 0.2315351829827379. The Fractal dimension analysis yields a value of -0.9619963136112852, indicating a Complex and irregular time-series structure. The dataset is converted into a simple regression task by extracting the previously described features.",LassoRegressor,"{'alpha': 9.999999999999999e-06, 'random_state': 42, 'selection': 'cyclic'}"
175.csv,"A univariate time-series dataset  consists of 7008 samples with a missing values percentage of 0.0% imputed using FBProphet model and 0.0% detected outliers. The target series has a sampling rate of 60 minutes, minimum value of -1.2245387041640248, maximum value of 1.393932078834125, median value of 0.1998572107337074, mean value of 0.1566779927564334, and average standard deviation of 0.10203004960662374 for the 10 percentiles. The series is detected as non-stationary using dickey fuller testand it turns into a stationary series using first order differencing. The series has 10 significant lags observed using the partial autocorrelation function (pACF), the pACF values for these 10 lags ranges from 0.9176023199732715 for the lag number 1 to 0.09026355828512182 for the lag number 10.There are no insignificant lags in between the first and the last significant ones.The series looks to be a additive time-series with a logistic trend. There are 3 seasonality components detected in this series represented as sinusoidal waves with periods 3504,1401,876.The series exhibits a skewness value of 0.1722070969571082 and a kurtosis value of 1.2982465845159166. The Fractal dimension analysis yields a value of -0.970700223210479, indicating a Complex and irregular time-series structure. The dataset is converted into a simple regression task by extracting the previously described features.",ElasticNetRegressor,"{'l1_ratio': 1.0, 'random_state': 42, 'selection': 'cyclic'}"
214.csv,"A univariate time-series dataset  consists of 1152 samples with a missing values percentage of 0.0% imputed using FBProphet model and 4.774305555555555% detected outliers. The target series has a sampling rate of 60 minutes, minimum value of -1.3625996836183971, maximum value of 0.9935820295555304, median value of -1.000337414855108, mean value of -0.9568237321339205, and average standard deviation of 0.11039706337915052 for the 10 percentiles. The series is detected as stationary using dickey fuller test.The series has only 1 significant laf observed using the partial autocorrelation function (pACF) with value 0.0912156005998568.The series looks to be a multiplicative time-series with a linear trend. There are 6 seasonality components detected in this series represented as sinusoidal waves with periods 57,44,28,12,3,3.The series exhibits a skewness value of 4.681241312484277 and a kurtosis value of 26.29214443051333. The Fractal dimension analysis yields a value of -0.9630057989495507, indicating a Complex and irregular time-series structure. The dataset is converted into a simple regression task by extracting the previously described features.",LassoRegressor,"{'alpha': 9.999999999999999e-06, 'random_state': 42, 'selection': 'random'}"
389.csv,"A univariate time-series dataset  consists of 31104 samples with a missing values percentage of 0.03536522633744856% imputed using FBProphet model and 2.5559413580246915% detected outliers. The target series has a sampling rate of 10 minutes, minimum value of -1.1353776004528997, maximum value of 1.4128766728419615, median value of 0.8514094785231587, mean value of 0.5765619100366294, and average standard deviation of 0.1656426610305149 for the 10 percentiles. The series is detected as stationary using dickey fuller test.The series has 10 significant lags observed using the partial autocorrelation function (pACF), the pACF values for these 10 lags ranges from 0.8434638203334084 for the lag number 1 to 0.01660527954808944 for the lag number 10.There are no insignificant lags in between the first and the last significant ones.The series looks to be a multiplicative time-series with a linear trend. There are 3 seasonality components detected in this series represented as sinusoidal waves with periods 148,144,140.The series exhibits a skewness value of 1.122736849546378 and a kurtosis value of 0.00201277599410421. The Fractal dimension analysis yields a value of -0.8954659398846819, indicating a Complex and irregular time-series structure. The dataset is converted into a simple regression task by extracting the previously described features.",ExtraTreesRegressor,"{'bootstrap': True, 'criterion': 'friedman_mse', 'max_features': 0.2, 'min_samples_leaf': 4, 'min_samples_split': 20, 'n_estimators': 512, 'random_state': 42, 'warm_start': True}"
W52_train.csv,"A univariate time-series dataset  consists of 820 samples with a missing values percentage of 0.0% imputed using FBProphet model and 0.0% detected outliers. The target series has a sampling rate of 10080 minutes, minimum value of 4665.0, maximum value of 8988.1, median value of 6813.75, mean value of 6710.775061124695, and average standard deviation of 0.09412165425390731 for the 10 percentiles. The series is detected as non-stationary using dickey fuller testand it turns into a stationary series using first order differencing. The series has only 1 significant laf observed using the partial autocorrelation function (pACF) with value 0.9909152694660052.The series looks to be a multiplicative time-series with a logistic trend. There are 1 seasonality components detected in this series represented as sinusoidal waves with periods 273.The series exhibits a skewness value of 0.2887306054902209 and a kurtosis value of 0.5937562296960719. The Fractal dimension analysis yields a value of -0.48504862646059016, indicating a Complex and irregular time-series structure. The dataset is converted into a simple regression task by extracting the previously described features.",LassoRegressor,"{'alpha': 2.0, 'random_state': 42, 'selection': 'cyclic'}"
352.csv,"A univariate time-series dataset  consists of 14016 samples with a missing values percentage of 0.007134703196347032% imputed using FBProphet model and 0.07848173515981735% detected outliers. The target series has a sampling rate of 30 minutes, minimum value of -1.2406528496793967, maximum value of 1.2301835460856865, median value of -0.0741321562779244, mean value of -0.0839048670655861, and average standard deviation of 0.14728632088762034 for the 10 percentiles. The series is detected as stationary using dickey fuller test.The series has 10 significant lags observed using the partial autocorrelation function (pACF), the pACF values for these 10 lags ranges from 0.8572335908367217 for the lag number 1 to -0.07924121918799894 for the lag number 10.There are no insignificant lags in between the first and the last significant ones.The series looks to be a multiplicative time-series with a linear trend. There are 3 seasonality components detected in this series represented as sinusoidal waves with periods 3504,333,48.The series exhibits a skewness value of 0.012552815980433302 and a kurtosis value of 0.3975230038119908. The Fractal dimension analysis yields a value of -0.6413280653162337, indicating a Complex and irregular time-series structure. The dataset is converted into a simple regression task by extracting the previously described features.",XGBoostRegressor,"{'colsample_bytree': 0.5, 'gamma': 0.9, 'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200, 'random_state': 42, 'reg_lambda': 10, 'subsample': 1}"
M2971_train.csv,"A univariate time-series dataset  consists of 156 samples with a missing values percentage of 0.0% imputed using FBProphet model and 0.0% detected outliers. The target series has a sampling rate of 44640 minutes, minimum value of 3691.59, maximum value of 6885.337333333333, median value of 5091.7155, mean value of 5180.753912381517, and average standard deviation of 0.06930015973358988 for the 10 percentiles. The series is detected as non-stationary using dickey fuller testand it turns into a stationary series using first order differencing. The series has only 1 significant laf observed using the partial autocorrelation function (pACF) with value 0.963837094451436.The series looks to be a additive time-series with a logistic trend. There are 1 seasonality components detected in this series represented as sinusoidal waves with periods 78.The series exhibits a skewness value of 0.41851752524149377 and a kurtosis value of 0.6745913687122269. The Fractal dimension analysis yields a value of -0.5229413116404795, indicating a Complex and irregular time-series structure. The dataset is converted into a simple regression task by extracting the previously described features.",LassoRegressor,"{'alpha': 0.5657799882610194, 'random_state': 42, 'selection': 'cyclic'}"
306.csv,"A univariate time-series dataset  consists of 9216 samples with a missing values percentage of 0.0% imputed using FBProphet model and 1.0525173611111112% detected outliers. The target series has a sampling rate of 30 minutes, minimum value of -1.214901507760502, maximum value of 0.9897055289322358, median value of -0.2229520825919091, mean value of -0.20805773780311124, and average standard deviation of 0.10181759357209716 for the 10 percentiles. The series is detected as non-stationary using dickey fuller testand it turns into a stationary series using first order differencing. The series has 7 significant lags observed using the partial autocorrelation function (pACF), the pACF values for these 7 lags ranges from 0.7944283478113657 for the lag number 1 to 0.047410801709885986 for the lag number 7.There are no insignificant lags in between the first and the last significant ones.The series looks to be a multiplicative time-series with a logistic trend. There are 4 seasonality components detected in this series represented as sinusoidal waves with periods 1536,1152,341,48.The series exhibits a skewness value of 0.290041634157631 and a kurtosis value of 0.15887798143731668. The Fractal dimension analysis yields a value of -0.8163391941302952, indicating a Complex and irregular time-series structure. The dataset is converted into a simple regression task by extracting the previously described features.",LassoRegressor,"{'alpha': 9.999999999999999e-06, 'random_state': 42, 'selection': 'cyclic'}"
D3099_train.csv,"A univariate time-series dataset  consists of 3356 samples with a missing values percentage of 0.0% imputed using FBProphet model and 0.0% detected outliers. The target series has a sampling rate of 1440 minutes, minimum value of 2713.4, maximum value of 14700.5, median value of 8975.900000000001, mean value of 8367.029904591533, and average standard deviation of 0.1011167682748942 for the 10 percentiles. The series is detected as non-stationary using dickey fuller testand it turns into a stationary series using first order differencing. The series has only 1 significant laf observed using the partial autocorrelation function (pACF) with value 0.9982276905155335.The series looks to be a additive time-series with a logistic trend. There are 4 seasonality components detected in this series represented as sinusoidal waves with periods 839,559,335,258.The series exhibits a skewness value of 0.29238233969515376 and a kurtosis value of 1.2383472411527718. The Fractal dimension analysis yields a value of -0.38501906715729856, indicating a Complex and irregular time-series structure. The dataset is converted into a simple regression task by extracting the previously described features.",LassoRegressor,"{'alpha': 9.999999999999999e-06, 'random_state': 42, 'selection': 'cyclic'}"
